City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
249,Yen Bai,VN,85.32,21.7,104.8667,AK MOTEL
252,Mogadishu,SO,85.87,2.0371,45.3438,Hotel Juba
254,Karaton,ID,79.11,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
256,Quelimane,MZ,85.95,-17.8786,36.8883,Hotel Flamingo
261,San Patricio,US,75.06,28.017,-97.5169,"Motel 6 Sinton, TX"
265,Matara,LK,82.56,5.9485,80.5353,Amaloh Boutique Resort
267,Nouakchott,MR,87.73,18.0858,-15.9785,HOTEL IMAN
268,Sitamau,IN,87.12,24.0167,75.35,सीतामऊ
273,Vila Velha,BR,71.55,-20.3297,-40.2925,Hotel Vitória Palace
274,Lashio,MM,78.19,22.9333,97.75,Hotel CF Lashio - Burmese Only
275,Zaqatala,AZ,75.67,41.6336,46.6433,Ag Bina Hotel & Spa
277,Ransang,PH,81.68,8.9603,117.5828,Black and Crystal Sand Campsite
279,Grand-Santi,GF,70.09,4.25,-54.3833,Hotel La Villa Couacou
280,Labuhan,ID,84.31,-6.8844,112.2051,DoubleFAG
284,Bardsir,IR,74.53,29.9227,56.5743,Sajjad hotel
285,Caravelas,BR,73.69,-17.7125,-39.2481,Pousada dos Navegantes
290,Porto Novo,BJ,82.22,6.4965,2.6036,Tour Eiffel Hotel Benin
294,Mataram,ID,81.41,-8.5833,116.1167,Hotel Santika Mataram
296,Mandera,KE,87.64,3.9366,41.867,Red Sea Resort & Suites Mandera County
298,Bundaberg,AU,70.21,-24.85,152.35,Takalvan Motel
300,Acapulco,MX,76.82,16.8634,-99.8901,HS Hotsson Smart Acapulco
301,Alyangula,AU,82.74,-13.8483,136.4192,Groote Eylandt Lodge
305,Yulara,AU,85.84,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
309,Kharan,PK,86.86,28.5833,65.4167,Dil Aram Bangla
310,Tagusao,PH,82.63,9.1924,117.8141,Caycay future beach resort
311,Saint-Pierre,RE,80.19,-21.3393,55.4781,Alize Plage
314,Iquitos,PE,75.24,-3.7481,-73.2472,Cortez Malaga Techy Caroly
316,Tura,IN,82.29,25.5198,90.2201,Hotel RIKMAN Continental
317,Artesia,US,70.68,33.8658,-118.0831,Sheraton Cerritos Hotel
318,Amahai,ID,81.16,-3.3333,128.9167,HOTEL ISABELA
319,Palu,ID,79.57,-0.8917,119.8707,Hotel Santika Palu
321,Sola,VU,75.87,-13.8833,167.55,Leumerus Bungalows
322,Tomatlan,MX,72.0,19.9333,-105.25,El Salvial
323,Saint-Georges,GD,76.68,12.0564,-61.7485,Radisson Grenada Beach Resort
325,Maxixe,MZ,89.33,-23.8597,35.3472,Oceano
327,Saint-Joseph,RE,79.11,-21.3667,55.6167,"""Plantation Bed and Breakfast"
328,Taitung,TW,82.67,22.7583,121.1444,Taitung Bali Suites Hotel
332,Mareeba,AU,75.43,-17.0,145.4333,Trinity Plains Tourist Park
333,Coruripe,BR,74.46,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
334,Abu Zabad,SD,89.29,12.35,29.25,حامد محمد نور
340,Sonoita,MX,75.69,31.85,-112.8333,Hotel internacional
341,Bac Lieu,VN,80.98,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
342,Sungairaya,ID,81.37,0.7,108.9,Rumah Kuku Moimoi Shelly
343,Kabare,CD,79.14,-2.4683,28.8242,Hôtel Panorama
348,Mount Isa,AU,87.57,-20.7333,139.5,ibis Styles Mt Isa Verona
353,Los Llanos De Aridane,ES,70.12,28.6585,-17.9182,Valle Aridane
354,San Policarpo,PH,82.13,12.1791,125.5072,Agapita M. Nicart
355,Pachino,IT,72.09,36.7186,15.0907,Il Veliero
356,Samarai,PG,81.21,-10.6167,150.6667,Nuli Sapi
357,Bandarbeyla,SO,89.67,9.4942,50.8122,JABIR HOTEL
358,Maturin,VE,71.44,9.75,-63.1767,Hotel Residencial La Pichincha
359,Avarua,CK,73.45,-21.2078,-159.775,Paradise Inn
360,Nautla,MX,71.49,20.2167,-96.7833,Casa Blanca
361,La Romana,DO,76.77,18.4273,-68.9728,Casa de Campo Resort and Villas
362,Bogale,MM,88.16,16.2833,95.4,Ngwe Taung
364,Nago,JP,82.83,26.5881,127.9761,Hotel Yugaf Inn Okinawa
365,Pombas,CV,78.58,17.1503,-25.0201,Paul Paradis
367,Takoradi,GH,79.45,4.8845,-1.7554,Raybow International Hotel
368,Vila Franca Do Campo,PT,70.21,37.7167,-25.4333,Pestana Bahia Praia
369,Cabo San Lucas,MX,76.6,22.8909,-109.9124,Hotel Tesoro Los Cabos
370,Komsomolskiy,UZ,74.12,40.4272,71.7189,Ikathouse
372,Carbonia,IT,74.35,39.1672,8.5222,Lu 'Hotel
377,Alofi,NU,71.49,-19.0595,-169.9187,Taloa Heights
386,Hajipur,IN,87.78,25.6833,85.2167,Sunderwati Niketan
389,Mozarlandia,BR,82.22,-14.7447,-50.5706,Hotel Santa Mônica
390,Kathu,TH,84.02,7.9178,98.3332,Novotel Phuket Resort
391,Linhares,BR,73.67,-19.3911,-40.0722,Hotel Conceição
393,Itoman,JP,82.78,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
396,Acajutla,SV,77.38,13.5928,-89.8275,CASA DE LA PERRA
